id,title,description,group
2681,"Vivek Ramaswamy wasn’t in Model UN, but he’s got that ‘power del’ vibe","As the GOP presidential candidates tussle, some former teenage diplomats see a familiar archetype: The guy who tosses bombs into foreign policy debates.",36
2713,U.S. Navy destroyer sports 'badass' pirate-inspired flag during Pearl Harbor homecoming: pictures,"The new Navy warship USS Carl M. Levin features a flag depicting a sea monster splitting a pirate ship in half while a phoenix rising, designed by sailor Hector Mendoza.",96
2703,Alabama shooting: 2 dead after gunshot victims fired upon outside emergency room,"At least two victims died and three others were wounded after a shooting in Birmingham, Alabama, early Monday, according to authorities.",32
2704,Atlanta gunman shoots 5 before killing himself,"A Georgia gunman shot five people, including two children, at a home in Atlanta. The gunman killed himself following the shooting. All five victims are in stable condition.",32
2714,"Remains of 'beloved' teacher missing since July found, man charged with her murder","A Maryland man faces first-degree murder charges in connection the death of 59-year-old Mariame Toure Sylla, a teacher who went missing in July.",21
3128,White House Urges Eligible Immigrants to Apply for Work Permits,"The Biden administration is ramping up efforts to ensure that some migrants can quickly get jobs, in a bid to ease the spiraling political and financial costs of the crisis.",1
2664,"Nikki Haley Has a Playbook for Winning Tough Races, but 2024 Is Different","Still pitching herself as a political outsider, Ms. Haley now has a political résumé that includes a stint in the Trump administration. Then there’s Mr. Trump himself.",34
2660,"Faced With Evolving Threats, U.S. Navy Struggles to Change","A new generation of cheaper and more flexible vessels could be vital in any conflict with China, but the Navy remains lashed to big shipbuilding programs driven by tradition, political influence and jobs.",96
2680,Why Trump’s vow to appeal his D.C. trial date probably won’t work,Trial dates are generally not appealable. And criminal defendants can’t challenge most other pre-trial decisions until the trial is finished.,12
2682,Marines’ top general ‘ruthlessly’ rides out Tuberville’s military hold,"Gen. Eric Smith, handcuffed by Sen. Tommy Tuberville’s promotion blockade, charts a steady, careful path to ready his Marines for America’s next major conflict.",82
2705,"Forensic genealogy could solve Rachel Morin murder, but scientists face unique hurdles, experts say","The FBI is likely using DNA analysis, known as investigative genetic genealogy, to track down Rachel Morin&apos;s killer, but the case may prove challenging, experts told Fox News Digital.",118
2706,Large alligator found 'patiently waiting' for Louisiana dollar store to open,The Plaquemines Parish Sheriff’s Office in Louisiana shared a photo of a large alligator found waiting for a local Dollar General store to open early one morning.,120
2707,California authorities rescue motorist who was trapped in ravine for nearly 5 days,Authorities in California rescued a motorist who had been trapped in a ravine for nearly five days. Firefighters were lowered down with a rope and saved individual who was airlifted to the hospital.,39
2708,Georgia man charged with murder in death of 2-year-old son,"Artavoius North was charged with murder in the death of his 2-year-old son, whose body was found at a garbage facility in East Point, Atlanta.",21
2709,"Social media giants like TikTok, YouTube fuel 'youth mental health crisis,' school boards claim in lawsuit","More than 200 school boards have joined a federal lawsuit to accuse Facebook, TikTok, YouTube and Snapchat of fueling today&apos;s &quot;unprecedented mental health crisis&quot; among kids.",101
2710,How to solve a cold case: What victims' families need to know,"What should you do if a loved one has gone missing or been killed in a cold-case investigation? Experts have some advice, and it starts with raising awareness.",118
2711,Florida teacher killed in murder-suicide that left a second victim injured: police,A Florida elementary school teacher was killed in a murder-suicide that also left a man injured. The gunman was also found dead from a self-inflicted gunshot wound.,32
2712,Florida man arrested after flaunting stolen Mercedes online following 'rash' of car break-ins: deputies,"Nicholas Coffey, 23, was arrested in Daytona Beach, Florida, after allegedly flaunting a stolen Mercedes-Benz on social media after using it to commit multiple car break-ins.",55
2718,Minnesota prison emergency lockdown 'resolved' after dozens of inmates refused to go back to cells,"The Minnesota Correction Facility at Stillwater was put on emergency lockdown after around 100 inmates refused to return to their cells on Sunday, authorities say.",13
3119,"With Jan. 6 Rioters Sentenced, Prosecuting Trump Will Be a Different Challenge","With leaders of the far-right groups that helped drive the attack on the Capitol sentenced to long prison terms, attention is shifting to the fraught process of prosecuting Donald Trump.",72
